Signer,Timestamp,TImestamp Converted,Latency,Slot,Signature
3FtEukYV8oecXeU7MCgi4uk7mZUkf7Dw6E8uMRzB4C4K,1720752814000,7/12/2024 2:53:34,4136,277051488,4n4cQE6iZzwk4RADeUChdTD9P9jsJmzYmZ9GbRn33UX4E91jrcHXuRNRixyCXhThCW48HnFwSzWfbfGyd5scnV3d
4SGtJLpt4eyDzWQFArsBnXbbn7EMkWAaM5ZKjVeMLmjt,1720752839000,7/12/2024 2:53:59,3383,277051544,31V63A4DWFf41fEqt7xYsdfukExi6w3W3UkAVtqBiMUrbNKqRe6iLbrVmHHpjaJ4g4yKJR4dMZqmDgcUnuXPdjbm
2ze3U8voG9o3mSsCM5VdrxBCy3t5bABgJMUrRuq1Uzie,1720752845000,7/12/2024 2:54:05,5634,277051561,61pp4jMxAYRa77iaoJZHHkLCzWoYEvtbBSqLFMUBFZgvvGXPtqVcy9yomFM5Hh61FQxo5dyh6EM2pd94eCctJuR
73LnJ7G9ffBDjEBGgJDdgvLUhD5APLonKrNiHsKDCw5B,1720752860000,7/12/2024 2:54:20,4710,277051594,4urS2ivoVha2bLNZZcng8jHUuWbAXSsQ85XSsLwCMR8co7hSYGX8iDCH98vLdSTjaM2JKbEe5YfJfvdFNknpt7c1
73LnJ7G9ffBDjEBGgJDdgvLUhD5APLonKrNiHsKDCw5B,1720752865000,7/12/2024 2:54:25,3833,277051604,4WhZKVyksv8SNsBN2G2ASYXAth5C6mdW9Fwrdq5JaSbVHHKki4ossR62hLJE791K9gHqK3KDdxz1MNgw9kKZjYX
Af8Zu4DMx4KTtpwwKTE4yoYo4B5zoRhcBsxGYp5RN4bE,1720752871000,7/12/2024 2:54:31,4184,277051617,4Uowz6UFjcGzUzhjNSkwaKxtHDGmfzd6FcGtBv95EKAn8781b4whKgPEpVDVtPqhWetnyNckFWNEST8XwKj6ni1n
8v57fDBiLYDBmUGPba6x9JqAzkSU99w5mRV5WdDrrmGw,1720752880000,7/12/2024 2:54:40,3577,277051636,3B1VhD14jaqDGAQT5Zyp9gCBAZpqw678hGNpDQQy2rCaU8NaGQxmmbu8hTTVR2n7BPfccgwhgtE2KF97eMehrfbw
4ZvoLzHSJWsYrLiUdorqMWfP8HRb1ogBXzwr2SMTwk68,1720752880000,7/12/2024 2:54:40,3578,277051636,3QT5K4u7mRcVr22gSgqBAcq8GzeNSfBn88Ljc66NBNJUE9Tukw3oXPmJVc7BMN5rULo6N6YwqahHnhKTuGmctCmW
HZdBgyq5Bc9jeJUnMXyx8TxETxwMxZCdKr1sk3PMLJX6,1720752899000,7/12/2024 2:54:59,4977,277051678,4kCv6vrnJQhnCZf8cjcsWBWWrYR3BauLsEqdwj4xSX54qjmjaDTZtJLpX7RR4XGgeekGNb38TZSHUu7Kp9pJpJBR
9SAu4eR1HRdTRsrTNcyPs2MSg4GKzw6uKk8TUuEviYgV,1720752904000,7/12/2024 2:55:04,3585,277051688,3mVijtwRbukYkrKcQ6ph9JBmCLDEDVPjXuBmAJfqu6KYn3y9FaGQK2F8nKjJJcMLmKUrXAGqPztXMrXr1sP727Qq
J5g1cUw2CoywzV13H7nwTKJ1om3yWa3ik5HX2x1fzLUP,1720752908000,7/12/2024 2:55:08,4493,277051700,3rTguemW5jG4ZeJCsVUCCTYVNLVEsUmUr6VDAHrgbFwqx1jXyr23pKcaGQ7NzUJETuUbqwxHCih8dmCubphqyyCb
35kEh8SgrSJYakgWEMpfLZiqT7dxx7SDTxnRAze7i9f6,1720752944000,7/12/2024 2:55:44,4298,277051780,4cXed5AJA9PwzWMEE65DNm1z3ajaEGuZVxPx5phoiSWGkAnzD9AENKJvz5GVox2Gyr8VvcZmJ4QsgqpuXc5fum1K
3FtEukYV8oecXeU7MCgi4uk7mZUkf7Dw6E8uMRzB4C4K,1720752948000,7/12/2024 2:55:48,3822,277051788,kHceCGF359GWkWgDVxXdmEdbyr8155nghyHqjrS1Fa38WQ5q8gw3MMLBNRHShb4Rrr38vJfBFiKLHy2KwHo1qTB
AifgPd5CgFRsQcobE2t9XGvZYES3TtqBKd4jD7xKCMfX,1720752949000,7/12/2024 2:55:49,4443,277051792,5Hpno3qXSvayEUZWfqnMyJPasLxf8nyA2EozGpgQ3eHSSqZmVJDayqzg3NKH99FNtu55HLnthYgZSEwr32aY975v
81Z4z2e3oqqTCH8Ue3aVmpyxaiMpoaCJXiRHkyEAsCBz,1720752951000,7/12/2024 2:55:51,3972,277051796,4AUdaU9yaXK82W4nL7ZBnJs6ehzLph239gw9UZXZb1Tw8pVaarMNPHTNkLXV6h4qpXmBZatuznjB4FnZzPGZGKNB
GFbFcPLrJ2eVgCD3NsCgQcj5F63b2qEve2sgLRFGTpoL,1720752951000,7/12/2024 2:55:51,3973,277051796,5kKyqdPqKmBju4M26DnZ9hoyAQdEXChERsYRWDZg6v7mdcav9kbmjL52fq47qC4jLFtzsrV5DoTUWWNc1XKyTamN
7xidWtURsaz4BJpr1pfsRaJLg6k1o7ugcu7ssa58Wyez,1720752954000,7/12/2024 2:55:54,4613,277051804,4YSuLPJ8tddciw8d3jSC4jmxxX94tpPAb4EPU8WhYMv5ZpLs3e8Xrn2yAtpe4HZ34ggG3K97oWqNAtFtbVXZJGsi
GCFjKNqHxZQ6UfGqw8RdjWCS3Wi3wgCY5HF9vbV36ARK,1720752956000,7/12/2024 2:55:56,4330,277051809,5sgYEBqZCtBq1nr33LtcRBr16CfNa23der67yMaQW6xayeLncK2v1g9wkW8FNmQmUcZmF6MRz3kMHuqg2sBqR62M
DPiiA2j8MPiZeKEamMqufd6vQbCdCnNChx27YDHwpk63,1720752970000,7/12/2024 2:56:10,4653,277051840,Hrsck7o9zdEUkwPnzW4psqXAs4RyXMSiRbBDA6d8mth4ScsXk9xUCixTY7WbDg8jadUiYyghc7U9dXYyWbExpxL
2ze3U8voG9o3mSsCM5VdrxBCy3t5bABgJMUrRuq1Uzie,1720752980000,7/12/2024 2:56:20,3682,277051864,38Y5fw23cQ1Wpen1hJNyD1RVrWYSvVc1xBb1K4nTv2GCKyWx4khvStEq3wo3eAPo2LX5WsPN5QRRkATBiRHDkVEu
HsxDuudsZnaoQU6FFxHuY9GUPbtM8H7x47WB5csQuo5Z,1720752988000,7/12/2024 2:56:28,4494,277051884,5r3DQTkp5uMfU6z86wDHq8VMgyAbEyBMVw7ZmGV5zWzBYm2fYz4oGtULKdsn4bEDgH8xtFQiycoaRXdthRKfd7Ds
81Z4z2e3oqqTCH8Ue3aVmpyxaiMpoaCJXiRHkyEAsCBz,1720753004000,7/12/2024 2:56:44,4113,277051917,4qH7zLooyCJFu4PA7TUjV2GAon3QnwEAiV7UL7qNLkaa84YXUWqSKUE3Do2qkWoJWsnGqRWvHDF2r3aRhGDhpCwm
BNHsrnuv72vo91szVHnahB2eGYXPMcxWdFyPC4Xge4Fk,1720753004000,7/12/2024 2:56:44,4378,277051917,3HpMTh7TosKRrSWEBTNB12sJZanQaJNqZR8ErxzBSbySsFFApe5i7VsnhS1nV2MiUCmxDrmpnJ6aj9k1kygs3odT
5vnwoXvW7wJappPriahftmRaZpTTt22J2cFFiGmnh3EJ,1720753007000,7/12/2024 2:56:47,3951,277051924,66o7CDNe1PN44vidJcHG5XgfcLyoqf94jjx3D9ThDR2hSLwCZR8AHG6etA5W9WzjaxuHXzY3oWm88Qoskqt58VVA
9kbhMFqYK9A6fsW15N2G3Gy1xGZpKqAiquXcBKUFdNPQ,1720753018000,7/12/2024 2:56:58,4403,277051951,5k7VZxAnJEB9nqTmuSJGTAzmw7AYGat5oe771hM5S5TWwujNM5iJyHHg457SrV8RBXFmx4eCY5tyJn36JGemsM6h
9kbhMFqYK9A6fsW15N2G3Gy1xGZpKqAiquXcBKUFdNPQ,1720753022000,7/12/2024 2:57:02,4713,277051961,Siy8LhvTGB6NDzGAqzPon3xSJMufrnJmauuuNjdiNdyc2YfmM2LG61S4kn2VmxaVoYT2o711sk7KjgsbTjkPNvs
4V6rdtiLv4TWLAEGnxySNLwTauPUCZAeVEhjGSQn2Khf,1720753036000,7/12/2024 2:57:16,3946,277051992,3sRiNLna6epz3mxTmF1RmcWP9wavumQdVn9h4jByypJUSuHKAPB8Wn4D3edouTpmZs6BH8A2hfTBnZdHXfyo7kMa
2ze3U8voG9o3mSsCM5VdrxBCy3t5bABgJMUrRuq1Uzie,1720753048000,7/12/2024 2:57:28,4870,277052019,5oqwMhpNeXxkJ2fcioMEMsvx9N8BhXY6HNwDpsTaXsijXDy7AjkFMWZJv21UioE4rco3Tjrgjjh7PDWkUzupNYmz
4V6rdtiLv4TWLAEGnxySNLwTauPUCZAeVEhjGSQn2Khf,1720753071000,7/12/2024 2:57:51,4553,277052073,2T3DTYCQFF5LrFFbLhTb2yhfPQJXD4hg1MAMrqfj4Ci82RcZs2ufFVCdehnvbNYZa5PVKvSj3JSzzuJcVaC4EgFA
CXcxM8vb8PwLU7DDjqKHAjn379zsYHo2GYhRUxJr9hrF,1720753076000,7/12/2024 2:57:56,3988,277052084,4MNJcZTXs2bfybKDJiQNbN7LT8vLhYu4VbLeegAwGQx6eFjsndHVhP4fHD5GjmjzfKd9sjKH8xbDU8bnXbb32Ak5
DBi8tDbMi66N2JmvmcvZqbGBUnu98c3eUNaxYaKx5QfC,1720753091000,7/12/2024 2:58:11,7104,277052121,5nxdJ3Pjq1RupC31dur33JHXxTC7nnRMy52gwvH5VbaWiMViDW9zZ3eQyyZC2Y5NWJNuKkYCfsrGybUR6JR692ok
AtmeWwb6Y6KNDgu2dPJT5dsar84bFCbNxLiW2DyYfm8p,1720753098000,7/12/2024 2:58:18,3768,277052136,2bbHbK6HJgUsfuMpN4ZWqzLB3vgEULofnkJNjBzZN6xtUrgb2DnLrjHcacSRKUksU74PckAekLi1q86p8sJLxtwy
8kZMefdNmxppnRyocnL9CvgDMLoBCCdn7LuL75t63x7E,1720753101000,7/12/2024 2:58:21,4766,277052145,3zhW48WXHcVm63GmFFZ7wpaqccopx19HZHyhE2HvZtLthVKDX9SyGnZgm8un8wzbMx2U6MnLExJetPZsBFkS3ETF
ExcnCxtDiQTiXUadxgTFvfP3D2uJYWFZhJxEJxZB8fYn,1720753110000,7/12/2024 2:58:30,4447,277052164,2KkhbmzjG6JuVzz8pWT1i8oTPRpLsReKm5JdQwWaJqMpBawrFZsAEEC4WzQt8qJje6sghsNF66k7sihog2yNMuxH
8kZMefdNmxppnRyocnL9CvgDMLoBCCdn7LuL75t63x7E,1720753112000,7/12/2024 2:58:32,4712,277052168,26wLoSLriradYrKwpntcEay5NyyNZ1XKWg6sDfVB3qAsr7jpZShxtMLad4F6Usc2rJD6WCkLdvZbdF2jxGdbd1Gc
4ZvoLzHSJWsYrLiUdorqMWfP8HRb1ogBXzwr2SMTwk68,1720753118000,7/12/2024 2:58:38,5398,277052181,5o5eyXhGsypzwhxABj4qcSPNeXTrN6nf6bJXLU1Qrcy36QiTvhdxc5WpCjTAcTM9GkWh3KEYVEFoXTGjPgWAY7t
DBi8tDbMi66N2JmvmcvZqbGBUnu98c3eUNaxYaKx5QfC,1720753144000,7/12/2024 2:59:04,3920,277052232,PCeXgojsjmr7Ti8avUWCsarXyYh4PbmMN6RGh7UtbJnpN2EmRpqsAJXahyzzdhEp5u7XfNTmezEEnVnDfagkGWL
E6UJfGMUw42r5ypkZHU29VGtaPmQc8eyF7f8SjhZTzX1,1720753155000,7/12/2024 2:59:15,4625,277052258,jh2gvY4F9m4djK6h2WFwUP9RpxYVFMrzdvibVyPpsh8p4Dvzzs8HHP3NXieCmv4vW4529wspS2nRad7kJxczSFY
ExcnCxtDiQTiXUadxgTFvfP3D2uJYWFZhJxEJxZB8fYn,1720753158000,7/12/2024 2:59:18,4405,277052264,T3A5APZtxE2VVrbekz4xNLoP9FPNoyx6fb9LLHmAPPtkBPGAJ5Kah4RNiuNjekHxxcnDFcKyk2rW2ENYWAh9Haf
2gQMcQ9rkhB6VcizqDwPpwaqq5jKiMERnecuwTaAaYvb,1720753162000,7/12/2024 2:59:22,4325,277052273,5Md86s6ZYXktc7HAPTX7EBgwyP8bsqrYP18Fb5KvfnaiB8vxekMBWJ1mVUXu9DcVzBqr83bym43c3eMtCJkTJFd2
ExcnCxtDiQTiXUadxgTFvfP3D2uJYWFZhJxEJxZB8fYn,1720753195000,7/12/2024 2:59:55,3476,277052338,66epZbgxQHxY8GY1vsDC6bjPWGKeJVjeF3UL59GJGBHNYMHatsawSoizs2YK1HBum9EieqDJg7MN86DUxzCcne9e
8a7KUy2EK2EVEwBpHT1zjRryxpJAsi4HjHk7sgKu6etH,1720753203000,7/12/2024 3:00:03,4249,277052360,5ek7wq3fcHtzHd8Xqq4dKuN8GeH5YjuGsVZPogARUFetaTBcmrt8PM517JC1QLzKzydFdeVbX57hn5kyHGy9nh1U
Gmh3Wt423pU6GsS3FQyZjknifnAFW7g3J8HhbF2TrbZL,1720753203000,7/12/2024 3:00:03,4513,277052360,2oL3vdB6sieDQCzUJQ4BWccFDVg9m6SVRJtWqimh8CuRjbbm8jr2zRMfYmfegPrYNaS9FNTrLdNwZVc2uPP4nKEW
EcJWNtETrzdbj8s2dXpaE4Tu4r7fxALD6TNw9H8S6ksz,1720753208000,7/12/2024 3:00:08,3895,277052371,1FHTKdmkgZnh6bNHKQgYwcAZNo7JqBRKxnRDtGLUZSWPTBLgsdjrkYcFHbozQErhygZyT46L17qsmqbeweiJVDA
BNHsrnuv72vo91szVHnahB2eGYXPMcxWdFyPC4Xge4Fk,1720753223000,7/12/2024 3:00:23,4642,277052400,3nWwGnYPTspD8K1UwEVPbm7akHf3Cvcw1wZFjPpAsAffpa84tt3JJSGVaJjGTfEFU9og9zxxWYVrNQV1WLwKMLPc
GCFjKNqHxZQ6UfGqw8RdjWCS3Wi3wgCY5HF9vbV36ARK,1720753240000,7/12/2024 3:00:40,3515,277052432,2Hg8JTHXMakymA7K94BFJiHU5MagiDK2XkupqEDWQBzPWvkaViJGBkJuEY4eAUNRPbRfTbP2MVf16eivHucQy3Wd
FEHYyDhyHinv268VcJJgFzAqv11N72UACTPPEQGkAuQP,1720753241000,7/12/2024 3:00:41,4349,277052436,UWu9hnD4KcjnKty1Dy11kADgbTbNyu6YULDXMySjpKZ2zGhgKk7u4HtVQka6W2xGczbZ5JRMVqRUYaAeWBzmk3T
4hSXPtxZgXFpo6Vxq9yqxNjcBoqWN3VoaPJWonUtupzD,1720753243000,7/12/2024 3:00:43,4643,277052441,4tUyyVXn9DzREWTZBwDo1T1vne9QBoGZoqfMkpkBJ8hYVAyCKgNctqAfM446FuBni9KAEA1QNFP9bmKS1bN94yek
E6UJfGMUw42r5ypkZHU29VGtaPmQc8eyF7f8SjhZTzX1,1720753254000,7/12/2024 3:00:54,4500,277052460,Vwgz965dub2RGm8W8P8YPbDmEWzKXip5ZHqwL2UgZAS5egtuxaY1vjRRxXqtC23CzLN6AkAtfqZva3mzeb3Y34V